anio,cine11_hom_cod,grupo_educativo,ocupados,rem_ocupados,horas_mensuales,rem_total_mensual,rem_por_trabajador,rem_por_hora,participacion_empleo,participacion_horas
2017,4,Educación media,6822461.2198742228,6031794.0502569815,1212002601.2987454,7955276088775.9688,1318890.5361311263,6563.7450614803429,0.32300079585534952,0.33488912343942495
2018,4,Educación media,6962946.3929744111,6168104.69852573,1233329196.7162778,8117100541944.95,1315979.695332516,6581.4549461381594,0.32737795641138911,0.33780328219241867
2019,4,Educación media,7185186.6545471381,6653990.45214697,1332336078.9262776,8746830669025.1836,1314524.0787357818,6565.0332580306667,0.33721123733825714,0.34897462637957838
2021,4,Educación media,7021967.9392456533,6163767.7658977248,1217906056.8817234,8035665832473.5928,1303693.8018548521,6597.9356840114424,0.3467735984208678,0.35798612364336979
2022,4,Educación media,7667403.2234207531,7245077.9434823506,1440798394.0173106,9193439565177.0254,1268922.1064139709,6380.7952613990556,0.34819567046982819,0.35872186389823135
2023,4,Educación media,7973454.4700751128,7596575.0811475124,1503242443.4548285,9936935296655.7422,1308080.9694511311,6610.33444067623,0.35007012294608997,0.36044735518930127
2024,4,Educación media,8274002.4388364786,7830745.5477171466,1529773023.0866253,10624666608604.604,1356788.6408596118,6945.2568768451656,0.35928608034948006,0.3694522663608073
2025,4,Educación media,8700132.94506327,8417431.0412678923,1622900003.8489735,12228377968810.895,1452744.6567556283,7534.8930555236248,0.36516877708232387,0.37313404469316019
2010,5,Técnica profesional y tecnológica,1307215.7548981018,1231839.4884643774,252608482.72263461,2369110108415.8389,1923229.5527148538,9378.5849266872556,0.07064736132498875,0.074254596356962008
2011,5,Técnica profesional y tecnológica,1494995.6031099898,1404043.46247404,285673289.64363492,2702543126805.0532,1924828.681615703,9460.2583607881534,0.078131802213108711,0.08166930577109012
2012,5,Técnica profesional y tecnológica,1750785.7368628269,1627506.2475124928,330007534.09096366,3073765515900.4888,1888635.1561467012,9314.228308052,0.088810601542005277,0.093183726065015252
2013,5,Técnica profesional y tecnológica,2003859.8615071212,1852724.1482989595,373702016.43493831,3472992255917.8584,1874532.8380949288,9293.4801076260919,0.10052899709787087,0.10530429902709272
2014,5,Técnica profesional y tecnológica,2205724.4002348976,2016860.0740531473,407739184.52697587,3801344638890.6616,1884783.5245463292,9322.9809229658822,0.10803229259256165,0.11350739397147089
2015,5,Técnica profesional y tecnológica,2253270.2698723548,2075545.6587062331,418861409.96010345,3684631918001.2856,1775259.3890408836,8796.7805827522916,0.10833915187663098,0.11481572892795112
2016,5,Técnica profesional y tecnológica,2237448.3725340571,2039905.9766292451,408982715.90901023,3534615789355.791,1732734.6602495939,8642.4576195101763,0.10694637098789116,0.11229423857974505
2017,5,Técnica profesional y tecnológica,2275039.8371014763,2051105.2609679943,409485270.38093883,3501922934666.5571,1707334.5777553448,8552.0119720271341,0.10770888310010047,0.11314510638201754
2018,5,Técnica profesional y tecnológica,2334675.9057214824,2103221.1190923527,422797732.41275865,3651214470902.3315,1736010.7493015367,8635.8421320429716,0.10976982785178491,0.11580238438594066
2019,5,Técnica profesional y tecnológica,2387973.5017432673,2247570.1680782819,449614138.33016485,3922217140667.9229,1745092.1872759585,8723.5182488583669,0.11207106202929541,0.11776602647073355
2021,5,Técnica profesional y tecnológica,2249675.0246323696,1950346.6198562493,391154782.09472692,3437715517752.2124,1762617.7227951358,8788.6322118891858,0.11109818647977589,0.11497437211633563
2022,5,Técnica profesional y tecnológica,2618545.220209342,2502662.1483592116,503735846.24370432,4298315912061.8643,1717497.4715943637,8532.87679269576,0.11891458972984315,0.12541731197593453
2023,5,Técnica profesional y tecnológica,2787505.7111793919,2689662.3465168905,540363452.29200578,4643718759664.2852,1726506.2157998737,8593.6951138488112,0.12238390156836314,0.12956830620879584
2024,5,Técnica profesional y tecnológica,2862412.2132001421,2748735.8692864673,543500682.38182986,5121366334440.9258,1863171.5006398049,9422.9253070982741,0.12429593440750547,0.13125970705736648
2025,5,Técnica profesional y tecnológica,3037383.3174027945,2970649.248436057,577590570.46352887,5648362907312.5078,1901390.0447136846,9779.1813027341759,0.12748742560027215,0.13279851206023063
2010,6,Universitaria,1342500.1059587928,1212962.1792204252,231413932.32804105,4668424022669.9033,3848779.5437037572,20173.478648001947,0.0725542740049822,0.068024430340542563
2011,6,Universitaria,1349386.9866196029,1217219.6983163152,229055174.32162544,4721024327005.6963,3878530.9944752948,20610.86085912523,0.070521971387864271,0.065483115671958955
2012,6,Universitaria,1343302.7037485288,1193231.8968688413,223357773.70463014,4499729618210.0781,3771043.692360064,20145.83841689142,0.068140560355876387,0.0630691952434241
2013,6,Universitaria,1442106.0821082441,1261110.5234699871,237434670.74981737,4857894727081.4121,3852076.9089411409,20459.921509104832,0.072347114151009417,0.066905958406545257
2014,6,Universitaria,1551124.5817512148,1341642.5940091803,254744597.69190624,5331191105070.251,3973629.8839016822,20927.592394002058,0.07597120684951239,0.070916400752270653
2015,6,Universitaria,1537264.2139140884,1334893.9499320562,252421111.87496945,4738520732739.5146,3549735.717193637,18772.28373467677,0.0739129714586714,0.069192131973888557
2016,6,Universitaria,1646641.6654193606,1418472.437798585,267685545.73966444,4987007445963.4043,3515759.1455940087,18630.096115886216,0.078706777146598655,0.073498324912896151
2017,6,Universitaria,1730393.3091972142,1440136.4930823876,270105712.07959795,4949492684876.6514,3436821.9322621524,18324.279952354642,0.081923282229191791,0.074633061890617164
2018,6,Universitaria,1833250.9163994193,1516608.7074504043,287245682.29952866,5107106420855.3262,3367451.6015676623,17779.575936427249,0.086194249492673611,0.078675291669676933
2019,6,Universitaria,1899097.1403659761,1724418.9578479922,327097976.30578452,5750414539177.0674,3334696.8919625897,17580.098183797218,0.089127384898634768,0.085675750943275
2021,6,Universitaria,2535131.3117055325,1992658.3235222185,392964748.63321263,7353246956237.1787,3690169.4934029612,18712.230503659219,0.125195189587263,0.11550638597846853
2022,6,Universitaria,2714854.4970647511,2484285.4221503497,487384784.93353766,8668610543652.127,3489377.8574559861,17785.968728659071,0.12328823126791949,0.12134631688442642
2023,6,Universitaria,2753499.8010884551,2558225.1069319663,495158043.39728618,9007294615256.8535,3520915.5718353265,18190.746844093817,0.12089089083241347,0.11872895680957017
2024,6,Universitaria,2774702.7848105826,2584017.8583058282,490295595.26247931,9392487339051.53,3634838.4005401456,19156.785069674694,0.12048728472813583,0.11841025833424358
2025,6,Universitaria,2838162.2387969461,2741677.1312097269,513403896.02628094,9713731648407.2578,3542988.9018774466,18920.253086490047,0.11912556284450825,0.11804083543728931
2010,7,Posgrado,517161.73866376258,477100.947295261,88711955.889861837,3314489626910.58,6947145.34880049,37362.377975586554,0.027949565385773867,0.02607699632902338
2011,7,Posgrado,565969.42991626356,510073.75487017655,92965720.202601388,3486482868262.3442,6835252.4217791213,37502.886662569894,0.029578823820547405,0.026577373890737603
2012,7,Posgrado,574342.54868475266,516587.98126511747,92974910.38466242,3398825695949.9868,6579374.3161161151,36556.375068156805,0.029134180251696763,0.026253184200987482
2013,7,Posgrado,650801.10726803134,588861.23200992448,107494313.59722349,4107612749247.2544,6975519.0628307927,38212.372466866487,0.032649180654096638,0.030290479700220859
2014,7,Posgrado,695487.4615855969,615728.69065206673,112794964.17177162,4324543633926.95,7023456.43394851,38339.8644228589,0.034063686712842142,0.031400127635748919
2015,7,Posgrado,693402.55456260906,614643.91207195236,111925127.21391571,4007495198433.3081,6520027.4821304614,35805.143118345761,0.033339384837602293,0.030680231601291286
2016,7,Posgrado,730243.88256501814,640244.90474204591,116648941.92341699,4171202132237.5952,6515010.27394848,35758.593806843921,0.0349044626616285,0.032028258419940794
2017,7,Posgrado,774872.11161412811,655338.82151212881,119572615.67054282,4250039119708.0049,6485254.6197422957,35543.582415375888,0.036685339890007142,0.033039176983908992
2018,7,Posgrado,820093.435601102,695683.41732210957,127052071.36558644,4695962827687.1738,6750143.3996562948,36960.9308782913,0.038558463308633224,0.034798987027073326
2019,7,Posgrado,880072.0960005949,804822.00076860667,146497389.30972129,5244307251586.0146,6516108.2159504713,35797.957057778178,0.041303060686867933,0.038371603462952139
2021,7,Posgrado,905945.63864305452,711754.34270766412,140013268.4127318,5105066746956.8,7172512.2568779076,36461.306880631193,0.04473931407890936,0.04115490430029136
2022,7,Posgrado,1090559.8888466386,995849.355455242,193650742.20831719,6935689306084.9033,6964596.8720985176,35815.454291540635,0.049525011352545487,0.048214070392286146
